Mod:Item:MetaData, Localized Name
MineFactoryReloaded:stainedglass.block:12, Stained Glass (Brown)
MineFactoryReloaded:stainedglass.block:13, Stained Glass (Green)
MineFactoryReloaded:stainedglass.block:14, Stained Glass (Red)
MineFactoryReloaded:stainedglass.block:15, Stained Glass (Black)
MineFactoryReloaded:stainedglass.pane:0, Stained Glass Pane (White)
MineFactoryReloaded:stainedglass.pane:1, Stained Glass Pane (Orange)
MineFactoryReloaded:stainedglass.pane:2, Stained Glass Pane (Magenta)
MineFactoryReloaded:stainedglass.pane:3, Stained Glass Pane (Light Blue)
MineFactoryReloaded:stainedglass.pane:4, Stained Glass Pane (Yellow)
MineFactoryReloaded:stainedglass.pane:5, Stained Glass Pane (Lime)
MineFactoryReloaded:stainedglass.pane:6, Stained Glass Pane (Pink)
MineFactoryReloaded:stainedglass.pane:7, Stained Glass Pane (Gray)
MineFactoryReloaded:stainedglass.pane:8, Stained Glass Pane (Light Gray)
MineFactoryReloaded:stainedglass.pane:9, Stained Glass Pane (Cyan)
MineFactoryReloaded:stainedglass.pane:10, Stained Glass Pane (Purple)
MineFactoryReloaded:stainedglass.pane:11, Stained Glass Pane (Blue)
MineFactoryReloaded:stainedglass.pane:12, Stained Glass Pane (Brown)
MineFactoryReloaded:stainedglass.pane:13, Stained Glass Pane (Green)
MineFactoryReloaded:stainedglass.pane:14, Stained Glass Pane (Red)
MineFactoryReloaded:stainedglass.pane:15, Stained Glass Pane (Black)
MineFactoryReloaded:road:0, Road
MineFactoryReloaded:road:1, Road Light
MineFactoryReloaded:road:4, Road Light (Inverted)
MineFactoryReloaded:plastic, Block of Plastic
MineFactoryReloaded:brick:0, Ice Bricks
MineFactoryReloaded:brick:1, Glowstone Bricks
MineFactoryReloaded:brick:2, Lapis Bricks
MineFactoryReloaded:brick:3, Obsidian Bricks
MineFactoryReloaded:brick:4, Paved Stone Bricks
MineFactoryReloaded:brick:5, Snow Bricks
MineFactoryReloaded:brick:6, Large Ice Bricks
MineFactoryReloaded:brick:7, Large Glowstone Bricks
MineFactoryReloaded:brick:8, Large Lapis Bricks
MineFactoryReloaded:brick:9, Large Obsidian Bricks
MineFactoryReloaded:brick:10, Large Paved Stone Bricks
MineFactoryReloaded:brick:11, Large Snow Bricks
MineFactoryReloaded:brick:12, Raw Meat Block
MineFactoryReloaded:brick:13, Cooked Meat Block
MineFactoryReloaded:brick:14, Large Bricks
MineFactoryReloaded:brick:15, Sugar Charcoal Block
MineFactoryReloaded:stone:0, Smooth Blackstone
MineFactoryReloaded:stone:1, Smooth Whitestone
MineFactoryReloaded:stone:2, Cobble Blackstone
MineFactoryReloaded:stone:3, Cobble Whitestone
MineFactoryReloaded:stone:4, Large Blackstone Bricks
MineFactoryReloaded:stone:5, Large Whitestone Bricks
MineFactoryReloaded:stone:6, Small Blackstone Bricks
MineFactoryReloaded:stone:7, Small Whitestone Bricks
MineFactoryReloaded:stone:8, Blackstone Gravel
MineFactoryReloaded:stone:9, Whitestone Gravel
MineFactoryReloaded:stone:10, Paved Blackstone
MineFactoryReloaded:stone:11, Paved Whitestone
MineFactoryReloaded:pinkslime.block, Pink Slime Block
MineFactoryReloaded:vinescaffold, Vine Scaffolding
MineFactoryReloaded:farmland, Fertile Soil
MineFactoryReloaded:detcord, DetCord
MineFactoryReloaded:milk.still, Milk
MineFactoryReloaded:sludge.still, Sludge
MineFactoryReloaded:sewage.still, Sewage
MineFactoryReloaded:mobessence.still, Essence
MineFactoryReloaded:biofuel.still, BioFuel
MineFactoryReloaded:meat.still, Meat
MineFactoryReloaded:pinkslime.still, Pink Slime
MineFactoryReloaded:chocolatemilk.still, Chocolate Milk
MineFactoryReloaded:mushroomsoup.still, Mushroom Soup
MineFactoryReloaded:steam.still, Steam
OpenComputers:accessPoint:0, §cAccess Point§7
OpenComputers:adapter:0, Adapter
OpenComputers:assembler:0, Electronics Assembler
OpenComputers:cable:11250603, Cable
OpenComputers:capacitor:0, Capacitor
OpenComputers:case1:0, Computer Case (Tier 1)
OpenComputers:case3:0, Computer Case (Tier 3)
OpenComputers:case2:0, Computer Case (Tier 2)
OpenComputers:charger:0, Charger
OpenComputers:disassembler:0, Disassembler
OpenComputers:diskDrive:0, Disk Drive
OpenComputers:geolyzer:0, Geolyzer
OpenComputers:hologram1:0, Hologram Projector (Tier 1)
OpenComputers:hologram2:0, Hologram Projector (Tier 2)
OpenComputers:keyboard:0, Keyboard
OpenComputers:motionSensor:0, Motion Sensor
OpenComputers:powerConverter:0, Power Converter
OpenComputers:powerDistributor:0, Power Distributor
OpenComputers:raid:0, Raid
OpenComputers:redstone:0, Redstone I/O
OpenComputers:relay:0, Relay
OpenComputers:screen1:0, Screen (Tier 1)
OpenComputers:screen3:0, Screen (Tier 3)
OpenComputers:screen2:0, Screen (Tier 2)
OpenComputers:rack:0, Rack
OpenComputers:switch:0, §cSwitch§7
OpenComputers:caseCreative:0, Computer Case (Creative)
OpenComputers:microcontroller:0, Microcontroller
OpenComputers:robotAfterimage:0, Robot
OpenComputers:robot:0, Robot.name
OpenComputers:print:0, 3D Print
OpenComputers:printer:0, 3D Printer
OpenComputers:chameliumBlock:0, Block of Chamelium
OpenComputers:waypoint:0, Waypoint
OpenComputers:endstone:0, End Stone
OpenComputers:netSplitter:0, Net Splitter
OpenComputers:transposer:0, Transposer
OpenComputers:carpetedCapacitor:0, Carpeted Capacitor
voltzengine:veGemOre:0, Amazonite Ore
voltzengine:veGemOre:1, Smoky Quartz Ore
voltzengine:veGemOre:2, Black Banded Onyx Ore
voltzengine:veGemOre:3, Red Banded Onyx Ore
voltzengine:veGemOre:4, Green Garnet Ore
voltzengine:veGemOre:5, Orange Garnet Ore
voltzengine:veGemOre:6, Red Garnet Ore
voltzengine:veGemOre:7, Yellow Garnet Ore
voltzengine:veStoneOre:0, Tin Ore
voltzengine:veStoneOre:1, Copper Ore
voltzengine:veStoneOre:2, Silver Ore
voltzengine:veStoneOre:3, Lead Ore
voltzengine:veStoneOre:4, Zinc Ore
voltzengine:veStoneOre:5, Nickel Ore
voltzengine:veStoneOre:6, Bauxite Ore
voltzengine:veStoneOre:7, Magnesite Ore
voltzengine:veStoneOre:8, Uranium Ore
voltzengine:veStoneOre:9, Platinum Ore
icbmclassic:icbmCGlassPlate, Glass Pressure Plate
icbmclassic:icbmCGlassButton, Glass Button
icbmclassic:icbmCSpike:0, Spikes
icbmclassic:icbmCSpike:1, Poison Spikes
icbmclassic:icbmCSpike:2, Flammable Spikes
icbmclassic:icbmCCamouflage, Camouflage
icbmclassic:icbmCConcrete:0, Concrete
icbmclassic:icbmCConcrete:1, Compact Concrete
icbmclassic:icbmCConcrete:2, Reinforced Concrete
icbmclassic:icbmCGlass, Reinforced Glass
icbmclassic:icbmCRail, Reinforced Rail
icbmclassic:icbmCExplosive:0, Condensed Explosives
icbmclassic:icbmCExplosive:1, Shrapnel Explosives
icbmclassic:icbmCExplosive:2, Incendiary Explosives
icbmclassic:icbmCExplosive:3, Debilitation Explosives
icbmclassic:icbmCExplosive:4, Chemical Explosives
icbmclassic:icbmCExplosive:5, Anvil Explosives
icbmclassic:icbmCExplosive:6, Repulsive Explosives
icbmclassic:icbmCExplosive:7, Attractive Explosives
icbmclassic:icbmCExplosive:8, Fragmentation Explosives
icbmclassic:icbmCExplosive:9, Contagious Explosives
icbmclassic:icbmCExplosive:10, Sonic Explosives
icbmclassic:icbmCExplosive:11, Breaching Explosives
icbmclassic:icbmCExplosive:12, Rejuvenation Explosives
icbmclassic:icbmCExplosive:13, Thermobaric Explosives
icbmclassic:icbmCExplosive:14, S-Mine
icbmclassic:icbmCExplosive:15, Nuclear Explosives
icbmclassic:icbmCExplosive:16, EMP Explosives
icbmclassic:icbmCExplosive:17, Exothermic Explosives
icbmclassic:icbmCExplosive:18, Endothermic Explosives
icbmclassic:icbmCExplosive:19, Anti-Gravitational Explosives
icbmclassic:icbmCExplosive:20, Ender Explosives
icbmclassic:icbmCExplosive:21, Hypersonic Explosives
icbmclassic:icbmCExplosive:22, Antimatter Explosives
icbmclassic:icbmCExplosive:23, Red Matter Explosives
icbmclassic:icbmCExplosive:29, Nightmare Explosives
icbmclassic:oreredmatter, Redmatter ore
icbmclassic:icbmCRadarStation, Radar Station
icbmclassic:icbmCEmpTower, EMP Tower
icbmclassic:icbmCLauncherBase:0, Launcher Platform T1
icbmclassic:icbmCLauncherBase:1, Launcher Platform T2
icbmclassic:icbmCLauncherBase:2, Launcher Platform T3
icbmclassic:icbmCLauncherFrame:0, Launcher Support Frame T1
icbmclassic:icbmCLauncherFrame:1, Launcher Support Frame T2
icbmclassic:icbmCLauncherFrame:2, Launcher Support Frame T3
icbmclassic:icbmCLauncherScreen:0, Launcher Control Panel T1
icbmclassic:icbmCLauncherScreen:1, Launcher Control Panel T2
icbmclassic:icbmCLauncherScreen:2, Launcher Control Panel T3
icbmclassic:icbmCCruiseLauncher, Cruise Launcher
icbmclassic:icbmCMissileCoordinator, Missile Coordinator
IronChest:BlockIronChest:0, Iron Chest
IronChest:BlockIronChest:1, Gold Chest
IronChest:BlockIronChest:2, Diamond Chest
IronChest:BlockIronChest:3, Copper Chest
IronChest:BlockIronChest:4, Silver Chest
IronChest:BlockIronChest:5, Crystal Chest
IronChest:BlockIronChest:6, Obsidian Chest
IronChest:BlockIronChest:7, DirtChest 9000!
Mekanism:BasicBlock:0, Osmium Block
Mekanism:BasicBlock:1, Bronze Block
Mekanism:BasicBlock:2, Refined Obsidian
Mekanism:BasicBlock:3, Charcoal Block
Mekanism:BasicBlock:4, Refined Glowstone
Mekanism:BasicBlock:5, Steel Block
Mekanism:BasicBlock:6, Basic Bin
Mekanism:BasicBlock:6, Advanced Bin
Mekanism:BasicBlock:6, Elite Bin
Mekanism:BasicBlock:6, Ultimate Bin
Mekanism:BasicBlock:7, Teleporter Frame
Mekanism:BasicBlock:8, Steel Casing
Mekanism:BasicBlock:9, Dynamic Tank
Mekanism:BasicBlock:10, Structural Glass
Mekanism:BasicBlock:11, Dynamic Valve
Mekanism:BasicBlock:12, Copper Block
Mekanism:BasicBlock:13, Tin Block
Mekanism:BasicBlock:14, Thermal Evaporation Controller
Mekanism:BasicBlock:15, Thermal Evaporation Valve
Mekanism:BasicBlock2:0, Thermal Evaporation Block
Mekanism:BasicBlock2:1, Induction Casing
Mekanism:BasicBlock2:2, Induction Port
Mekanism:BasicBlock2:3, Basic Induction Cell
Mekanism:BasicBlock2:3, Advanced Induction Cell
Mekanism:BasicBlock2:3, Elite Induction Cell
Mekanism:BasicBlock2:3, Ultimate Induction Cell
Mekanism:BasicBlock2:4, Basic Induction Provider
Mekanism:BasicBlock2:4, Advanced Induction Provider
Mekanism:BasicBlock2:4, Elite Induction Provider
Mekanism:BasicBlock2:4, Ultimate Induction Provider
Mekanism:BasicBlock2:5, Superheating Element
Mekanism:BasicBlock2:6, Pressure Disperser
Mekanism:BasicBlock2:7, Boiler Casing
Mekanism:BasicBlock2:8, Boiler Valve
Mekanism:BasicBlock2:9, Security Desk
Mekanism:OreBlock:0, Osmium Ore
Mekanism:OreBlock:1, Copper Ore
Mekanism:OreBlock:2, Tin Ore
Mekanism:EnergyCube, tile.EnergyCube.name
Mekanism:ObsidianTNT, Obsidian TNT
Mekanism:BoundingBlock, Bounding Block
Mekanism:GasTank:0, Basic Gas Tank
Mekanism:GasTank:0, Advanced Gas Tank
Mekanism:GasTank:0, Elite Gas Tank
Mekanism:GasTank:0, Ultimate Gas Tank
Mekanism:CardboardBox, Cardboard Box
Mekanism:PlasticBlock:0, §8Black Plastic Block
Mekanism:PlasticBlock:1, §cRed Plastic Block
Mekanism:PlasticBlock:2, §2Green Plastic Block
Mekanism:PlasticBlock:3, §6Brown Plastic Block
Mekanism:PlasticBlock:4, §1Blue Plastic Block
Mekanism:PlasticBlock:5, §5Purple Plastic Block
Mekanism:PlasticBlock:6, §3Cyan Plastic Block
Mekanism:PlasticBlock:7, §7Light Grey Plastic Block
Mekanism:PlasticBlock:8, §8Grey Plastic Block
Mekanism:PlasticBlock:9, §dPink Plastic Block
Mekanism:PlasticBlock:10, §aLime Plastic Block
Mekanism:PlasticBlock:11, §eYellow Plastic Block
Mekanism:PlasticBlock:12, §9Light Blue Plastic Block
Mekanism:PlasticBlock:13, §dMagenta Plastic Block
Mekanism:PlasticBlock:14, §6Orange Plastic Block
Mekanism:PlasticBlock:15, §fWhite Plastic Block
Mekanism:SlickPlasticBlock:0, §8Black Slick Plastic Block
Mekanism:SlickPlasticBlock:1, §cRed Slick Plastic Block
Mekanism:SlickPlasticBlock:2, §2Green Slick Plastic Block
Mekanism:SlickPlasticBlock:3, §6Brown Slick Plastic Block
Mekanism:SlickPlasticBlock:4, §1Blue Slick Plastic Block
Mekanism:SlickPlasticBlock:5, §5Purple Slick Plastic Block
Mekanism:SlickPlasticBlock:6, §3Cyan Slick Plastic Block
Mekanism:SlickPlasticBlock:7, §7Light Grey Slick Plastic Block
Mekanism:SlickPlasticBlock:8, §8Grey Slick Plastic Block
Mekanism:SlickPlasticBlock:9, §dPink Slick Plastic Block
Mekanism:SlickPlasticBlock:10, §aLime Slick Plastic Block
Mekanism:SlickPlasticBlock:11, §eYellow Slick Plastic Block
Mekanism:SlickPlasticBlock:12, §9Light Blue Slick Plastic Block
Mekanism:SlickPlasticBlock:13, §dMagenta Slick Plastic Block
Mekanism:SlickPlasticBlock:14, §6Orange Slick Plastic Block
Mekanism:SlickPlasticBlock:15, §fWhite Slick Plastic Block
Mekanism:GlowPlasticBlock:0, §8Black Plastic Glow Block
Mekanism:GlowPlasticBlock:1, §cRed Plastic Glow Block
Mekanism:GlowPlasticBlock:2, §2Green Plastic Glow Block
Mekanism:GlowPlasticBlock:3, §6Brown Plastic Glow Block
Mekanism:GlowPlasticBlock:4, §1Blue Plastic Glow Block
Mekanism:GlowPlasticBlock:5, §5Purple Plastic Glow Block
Mekanism:GlowPlasticBlock:6, §3Cyan Plastic Glow Block
Mekanism:GlowPlasticBlock:7, §7Light Grey Plastic Glow Block
Mekanism:GlowPlasticBlock:8, §8Grey Plastic Glow Block
Mekanism:GlowPlasticBlock:9, §dPink Plastic Glow Block
Mekanism:GlowPlasticBlock:10, §aLime Plastic Glow Block
Mekanism:GlowPlasticBlock:11, §eYellow Plastic Glow Block
Mekanism:GlowPlasticBlock:12, §9Light Blue Plastic Glow Block
Mekanism:GlowPlasticBlock:13, §dMagenta Plastic Glow Block
Mekanism:GlowPlasticBlock:14, §6Orange Plastic Glow Block
Mekanism:GlowPlasticBlock:15, §fWhite Plastic Glow Block
Mekanism:ReinforcedPlasticBlock:0, §8Black Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:1, §cRed Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:2, §2Green Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:3, §6Brown Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:4, §1Blue Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:5, §5Purple Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:6, §3Cyan Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:7, §7Light Grey Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:8, §8Grey Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:9, §dPink Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:10, §aLime Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:11, §eYellow Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:12, §9Light Blue Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:13, §dMagenta Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:14, §6Orange Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:15, §fWhite Reinforced Plastic Block
Mekanism:RoadPlasticBlock:0, §8Black Plastic Road
Mekanism:RoadPlasticBlock:1, §cRed Plastic Road
Mekanism:RoadPlasticBlock:2, §2Green Plastic Road
Mekanism:RoadPlasticBlock:3, §6Brown Plastic Road
Mekanism:RoadPlasticBlock:4, §1Blue Plastic Road
Mekanism:RoadPlasticBlock:5, §5Purple Plastic Road
Mekanism:RoadPlasticBlock:6, §3Cyan Plastic Road
Mekanism:RoadPlasticBlock:7, §7Light Grey Plastic Road
Mekanism:RoadPlasticBlock:8, §8Grey Plastic Road
Mekanism:RoadPlasticBlock:9, §dPink Plastic Road
Mekanism:RoadPlasticBlock:10, §aLime Plastic Road
Mekanism:RoadPlasticBlock:11, §eYellow Plastic Road
Mekanism:RoadPlasticBlock:12, §9Light Blue Plastic Road
Mekanism:RoadPlasticBlock:13, §dMagenta Plastic Road
Mekanism:RoadPlasticBlock:14, §6Orange Plastic Road
Mekanism:RoadPlasticBlock:15, §fWhite Plastic Road
Mekanism:PlasticFence:0, §8Black Plastic Barrier
Mekanism:PlasticFence:1, §cRed Plastic Barrier
Mekanism:PlasticFence:2, §2Green Plastic Barrier
Mekanism:PlasticFence:3, §6Brown Plastic Barrier
Mekanism:PlasticFence:4, §1Blue Plastic Barrier
Mekanism:PlasticFence:5, §5Purple Plastic Barrier
Mekanism:PlasticFence:6, §3Cyan Plastic Barrier
Mekanism:PlasticFence:7, §7Light Grey Plastic Barrier
Mekanism:PlasticFence:8, §8Grey Plastic Barrier
Mekanism:PlasticFence:9, §dPink Plastic Barrier
Mekanism:PlasticFence:10, §aLime Plastic Barrier
Mekanism:PlasticFence:11, §eYellow Plastic Barrier
Mekanism:PlasticFence:12, §9Light Blue Plastic Barrier
Mekanism:PlasticFence:13, §dMagenta Plastic Barrier
Mekanism:PlasticFence:14, §6Orange Plastic Barrier
Mekanism:PlasticFence:15, §fWhite Plastic Barrier
Mekanism:SaltBlock, Salt Block
MekanismGenerators:Generator:0, Heat Generator
MekanismGenerators:Generator:1, Solar Generator
MekanismGenerators:Generator:3, Gas-Burning Generator
MekanismGenerators:Generator:4, Bio-Generator
MekanismGenerators:Generator:5, Advanced Solar Generator
MekanismGenerators:Generator:6, Wind Generator
MekanismGenerators:Generator:7, Turbine Rotor
MekanismGenerators:Generator:8, Rotational Complex
MekanismGenerators:Generator:9, Electromagnetic Coil
MekanismGenerators:Generator:10, Turbine Casing
MekanismGenerators:Generator:11, Turbine Valve
MekanismGenerators:Generator:12, Turbine Vent
MekanismGenerators:Generator:13, Saturating Condenser
MekanismGenerators:Reactor:0, Reactor Controller
MekanismGenerators:Reactor:1, Reactor Frame
MekanismGenerators:Reactor:3, Reactor Port
MekanismGenerators:Reactor:4, Reactor Logic Adapter
MekanismGenerators:ReactorGlass:0, Reactor Glass
MekanismGenerators:ReactorGlass:1, Laser Focus Matrix
mffs:biometricIdentifier, Biometric Identifier
mffs:coercionDeriver, Coercion Deriver
mffs:forceField, Force Field
mffs:forceFieldProjector, Force Field Projector
mffs:fortronCapacitor, Fortron Capacitor
mffs:interdictionMatrix, Interdiction Matrix
nuclearphysics:toxic_waste, Toxic Waste
nuclearphysics:uranium_hexafluoride, Uranium Hexafluoride
nuclearphysics:plasma, Plasma
nuclearphysics:blockControlRod, Control Rod
nuclearphysics:blockElectricTurbine, Electric Turbine
nuclearphysics:blockElectromagnet,:0, Electromagnet
nuclearphysics:blockElectromagnet,:1, Electromagnetic Glass
nuclearphysics:blockFulmination, Fulmination Generator
nuclearphysics:blockGasFunnel, Gas Funnel
nuclearphysics:blockMachine:0, Chemical Extractor
nuclearphysics:blockMachine:1, Gas Centrifuge
nuclearphysics:blockMachine:2, Nuclear Boiler
nuclearphysics:blockMachine:3, Particle Accelerator
nuclearphysics:blockMachine:4, Plasma Heater
nuclearphysics:blockMachine:5, Quantum Assembler
nuclearphysics:blockSiren, Siren
nuclearphysics:blockThermometer, Thermometer
nuclearphysics:blockUraniumOre, Uranium Ore
nuclearphysics:blockRadioactiveGrass, Radioactive Waste
nuclearphysics:blockReactorCell, Reactor Cell
nuclearphysics:blockCreativeBuilder, Creative Builder
openmodularturrets:baseTierWood, Turret Base (Tier 1) 
openmodularturrets:baseTierOneBlock, Turret Base (Tier 2) 
openmodularturrets:baseTierTwoBlock, Turret Base (Tier 3) 
openmodularturrets:baseTierThreeBlock, Turret Base (Tier 4) 
openmodularturrets:baseTierFourBlock, Turret Base (Tier 5) 
openmodularturrets:expanderPowerTierOne, Base Power Expander (Tier 1)
openmodularturrets:expanderPowerTierTwo, Base Power Expander (Tier 2)
openmodularturrets:expanderPowerTierThree, Base Power Expander (Tier 3)
openmodularturrets:expanderPowerTierFour, Base Power Expander (Tier 4)
openmodularturrets:expanderPowerTierFive, Base Power Expander (Tier 5)
openmodularturrets:expanderInvTierOne, Base Inventory Expander (Tier 1)
openmodularturrets:expanderInvTierTwo, Base Inventory Expander (Tier 2)
openmodularturrets:expanderInvTierThree, Base Inventory Expander (Tier 3)
openmodularturrets:expanderInvTierFour, Base Inventory Expander (Tier 4)
openmodularturrets:expanderInvTierFive, Base Inventory Expander (Tier 5)
openmodularturrets:hardWallTierOne, Hard Wall (Tier 1)
openmodularturrets:hardWallTierTwo, Hard Wall (Tier 2)
openmodularturrets:hardWallTierThree, Hard Wall (Tier 3)
openmodularturrets:hardWallTierFour, Hard Wall (Tier 4)
openmodularturrets:hardWallTierFive, Hard Wall (Tier 5)
openmodularturrets:fenceTierOne, Fence (Tier 1)
openmodularturrets:fenceTierTwo, Fence (Tier 2)
openmodularturrets:fenceTierThree, Fence (Tier 3)
openmodularturrets:fenceTierFour, Fence (Tier 4)
openmodularturrets:fenceTierFive, Fence (Tier 5)
openmodularturrets:disposeItemTurret, Disposable Item Turret
openmodularturrets:potatoCannonTurret, Potato Cannon Turret
openmodularturrets:machineGunTurret, Gun Turret
openmodularturrets:incendiaryTurret, Incendiary Turret
openmodularturrets:grenadeTurret, Grenade Launcher Turret
openmodularturrets:relativisticTurret, Relativistic Turret
openmodularturrets:rocketTurret, Rocket Launcher Turret
openmodularturrets:teleporterTurret, Teleporter Turret
openmodularturrets:laserTurret, Laser Turret
openmodularturrets:railGunTurret, Rail Gun Turret
openmodularturrets:leverBlock, Basic Turret Base Crank
ThermalDynamics:ThermalDynamics_0:0, Leadstone Fluxduct
ThermalDynamics:ThermalDynamics_0:1, Hardened Fluxduct
ThermalDynamics:ThermalDynamics_0:2, Redstone Energy Fluxduct
ThermalDynamics:ThermalDynamics_0:3, Redstone Energy Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_0:4, Resonant Fluxduct
ThermalDynamics:ThermalDynamics_0:5, Resonant Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_0:6, Cryo-Stabilized Fluxduct
ThermalDynamics:ThermalDynamics_0:7, Cryo-Stabilized Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_16:0, Temperate Fluiduct
ThermalDynamics:ThermalDynamics_16:1, Temperate Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:2, Hardened Fluiduct
ThermalDynamics:ThermalDynamics_16:3, Hardened Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:4, Flux-Plated Fluiduct
ThermalDynamics:ThermalDynamics_16:5, Flux-Plated Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:6, Super-Laminar Fluiduct
ThermalDynamics:ThermalDynamics_16:7, Super-Laminar Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_32:0, Itemduct
ThermalDynamics:ThermalDynamics_32:1, Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:2, Impulse Itemduct
ThermalDynamics:ThermalDynamics_32:3, Impulse Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:4, Warp Itemduct
ThermalDynamics:ThermalDynamics_32:5, Warp Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:6, Fluctuating Itemduct
ThermalDynamics:ThermalDynamics_32:7, Fluctuating Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_48:0, Structuralduct (Opaque)
ThermalDynamics:ThermalDynamics_48:1, Luxduct
ThermalDynamics:ThermalDynamics_64:0, Viaduct
ThermalDynamics:ThermalDynamics_64:1, Long Range Viaduct
ThermalDynamics:ThermalDynamics_64:2, Long Range Linking Viaduct
ThermalDynamics:ThermalDynamics_64:3, Viaduct (Untreated)
minecraft:record_13, Music Disc
minecraft:record_cat, Music Disc
minecraft:record_blocks, Music Disc
minecraft:record_chirp, Music Disc
minecraft:record_far, Music Disc
minecraft:record_mall, Music Disc
minecraft:record_mellohi, Music Disc
minecraft:record_stal, Music Disc
minecraft:record_strad, Music Disc
minecraft:record_ward, Music Disc
minecraft:record_11, Music Disc
minecraft:record_wait, Music Disc
appliedenergistics2:item.ToolCertusQuartzAxe, Certus Quartz Axe
appliedenergistics2:item.ToolCertusQuartzHoe, Certus Quartz Hoe
appliedenergistics2:item.ToolCertusQuartzSpade, Certus Quartz Shovel
appliedenergistics2:item.ToolCertusQuartzPickaxe, Certus Quartz Pickaxe
appliedenergistics2:item.ToolCertusQuartzSword, Certus Quartz Sword
appliedenergistics2:item.ToolCertusQuartzWrench, Certus Quartz Wrench
appliedenergistics2:item.ToolCertusQuartzCuttingKnife, Certus Quartz Cutting Knife
appliedenergistics2:item.ToolNetherQuartzAxe, Nether Quartz Axe
appliedenergistics2:item.ToolNetherQuartzHoe, Nether Quartz Hoe
appliedenergistics2:item.ToolNetherQuartzSpade, Nether Quartz Shovel
appliedenergistics2:item.ToolNetherQuartzPickaxe, Nether Quartz Pickaxe
appliedenergistics2:item.ToolNetherQuartzSword, Nether Quartz Sword
appliedenergistics2:item.ToolNetherQuartzWrench, Nether Quartz Wrench
appliedenergistics2:item.ToolNetherQuartzCuttingKnife, Nether Quartz Cutting Knife
appliedenergistics2:item.ToolEntropyManipulator, Entropy Manipulator
appliedenergistics2:item.ToolWirelessTerminal, Wireless Terminal
appliedenergistics2:item.ToolBiometricCard, Biometric Card
appliedenergistics2:item.ToolChargedStaff, Charged Staff
appliedenergistics2:item.ToolMassCannon, Matter Cannon
appliedenergistics2:item.ToolMemoryCard, Memory Card
appliedenergistics2:item.ToolNetworkTool, Network Tool
appliedenergistics2:item.ToolPortableCell, Portable Cell
appliedenergistics2:item.ItemCreativeStorageCell, Creative ME Storage Cell
appliedenergistics2:item.ItemViewCell, View Cell
appliedenergistics2:item.ItemBasicStorageCell.1k, 1k ME Storage Cell
appliedenergistics2:item.ItemBasicStorageCell.4k, 4k ME Storage Cell
appliedenergistics2:item.ItemBasicStorageCell.16k, 16k ME Storage Cell
appliedenergistics2:item.ItemBasicStorageCell.64k, 64k ME Storage Cell
appliedenergistics2:item.ItemSpatialStorageCell.2Cubed, 2³ Spatial Storage Cell
appliedenergistics2:item.ItemSpatialStorageCell.16Cubed, 16³ Spatial Storage Cell
appliedenergistics2:item.ItemSpatialStorageCell.128Cubed, 128³ Spatial Storage Cell
appliedenergistics2:item.ItemFacade:0, Cable Facade - Stone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dirt
appliedenergistics2:item.ItemFacade:0, Cable Facade - Podzol
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cobblestone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Oak Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Spruce Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Birch Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Jungle Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Acacia Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dark Oak Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Bedrock
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sand
appliedenergistics2:item.ItemFacade:0, Cable Facade - Red Sand
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gravel
